"lang"
{ 
	"Language" "korean" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"체력"					// $health
		"dota_ability_variable_mana"				"마나"						// $mana
		"dota_ability_variable_armor"				"방어력"						// $armor
		"dota_ability_variable_damage"				"피해"					// $damage
		"dota_ability_variable_str"					"힘"					// $str
		"dota_ability_variable_int"					"지능"				// $int
		"dota_ability_variable_agi"					"민첩"					// $agi
		"dota_ability_variable_all"					"모든 능력치"			// $all
		"dota_ability_variable_primary_attribute"	"주 능력치"			// $primary_attribute
		"dota_ability_variable_attack"				"공격 속도"				// $attack
		"dota_ability_variable_attack_pct"			"기본 공격 속도 백분율"	// $attack_pct
		"dota_ability_variable_hp_regen"			"체력 재생"		// $hp_regen
		"dota_ability_variable_lifesteal"			"흡혈"					// $lifesteal
		"dota_ability_variable_mana_regen"			"마나 재생"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"마나 재생의 오라"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"주문 피해"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"약화 효과 지속시간"			// $debuff_amp
		"dota_ability_variable_move_speed"			"이동 속도"			// $move_speed
		"dota_ability_variable_evasion"				"회피"					// $evasion
		"dota_ability_variable_spell_resist"		"마법 저항력"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"주문 흡혈"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_hero_attacks" "영웅 대상 공격"
		"dota_ability_variable_spell_lifesteal_hero_spells" "영웅 대상 능력"
		"dota_ability_variable_spell_lifesteal_creep_attacks" "크립 대상 공격"
		"dota_ability_variable_spell_lifesteal_creep_spells" "크립 대상 능력"
		"dota_ability_variable_lifesteal_hero_attacks" "영웅 대상 공격"
		"dota_ability_variable_lifesteal_hero_spells" "영웅 대상 능력"
		"dota_ability_variable_lifesteal_creep_attacks" "크립 대상 공격"
		"dota_ability_variable_lifesteal_creep_spells" "크립 대상 능력"
		"dota_ability_variable_selected_attrib"		"선택 능력치"		// $selected_attribute
		"dota_ability_variable_attack_range"		"공격 범위<font color='#7d7d7d'>(원거리만)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"공격 범위 <font color='#7d7d7d'>(근접만)</font>"	// $attack_range_melee
		"npc_dota_visage_familiar1"						"하수인"
		"npc_dota_visage_familiar2"						"하수인"
		"npc_dota_visage_familiar3"						"하수인"
		"npc_dota_observer_wards"						"관찰 와드"
		"npc_dota_sentry_wards"							"감시 와드"
		"npc_dota_gyrocopter_homing_missile"			"유도탄"
		"npc_dota_tusk_frozen_sigil1"					"얼어붙은 인장"
		"npc_dota_tusk_frozen_sigil2"					"얼어붙은 인장"
		"npc_dota_tusk_frozen_sigil3"					"얼어붙은 인장"
		"npc_dota_tusk_frozen_sigil4"					"얼어붙은 인장"
		"npc_dota_elder_titan_ancestral_spirit"			"우주의 영혼"
		"npc_dota_phoenix_sun"							"불사조 태양"
		"npc_dota_techies_land_mine"					"근접 지뢰"
		"npc_dota_techies_stasis_trap"					"정지 덫"
		"npc_dota_techies_remote_mine"					"끈끈이 폭탄"
		"npc_dota_broodmother_web"						"거미줄 치기"
		"npc_dota_earth_spirit_stone"					"바위 잔영"
		"npc_dota_zeus_cloud"	    				    "비구름"
		"npc_dota_hero_creep_radiant"					"래디언트 크립"
		"npc_dota_hero_creep_dire"						"다이어 크립"
		"npc_dota_wraith_king_skeleton_warrior"			"망령제왕 해골"
		"npc_dota_grimstroke_ink_creature"				"환영"
		"npc_dota_lich_ice_spire"						"얼음 첨탑"
		"npc_dota_unit_underlord_portal"				"마귀의 관문"
		"npc_dota_item_wraith_pact_totem"				"망령의 서약 토템"
		"npc_dota_unit_tidehunter_anchor"				"닻"
		"npc_dota_unit_roshans_banner"					"로샨의 깃발"
		"npc_dota_muerta_ofrenda"						"헌납품"
		"npc_dota_seasonal_ti10_disco_ball"				"반짝이 공"

		"npc_dota_creep_badguys_melee"					"근접 크립"
		"npc_dota_creep_badguys_melee_upgraded"			"우수 근접 크립"
		"npc_dota_creep_badguys_melee_upgraded_mega"	"상급 근접 크립"
		"npc_dota_creep_badguys_ranged"					"원거리 크립"
		"npc_dota_creep_badguys_ranged_upgraded"		"우수 원거리 크립"
		"npc_dota_creep_badguys_ranged_upgraded_mega"	"상급 원거리 크립"
		"npc_dota_badguys_siege"						"공성 크립"
		"npc_dota_badguys_siege_upgraded"				"우수 공성 크립"
		"npc_dota_badguys_siege_upgraded_mega"			"상급 공성 크립"
		"npc_dota_creep_badguys_flagbearer"					"기수 크립"
		"npc_dota_creep_badguys_flagbearer_upgraded"		"우수 기수 크립"
		"npc_dota_creep_badguys_flagbearer_upgraded_mega"	"상급 기수 크립"

		"npc_dota_creep_goodguys_melee"					"근접 크립"
		"npc_dota_creep_goodguys_melee_upgraded"		"우수 근접 크립"
		"npc_dota_creep_goodguys_melee_upgraded_mega"	"상급 근접 크립"
		"npc_dota_creep_goodguys_ranged"				"원거리 크립"
		"npc_dota_creep_goodguys_ranged_upgraded"		"우수 원거리 크립"
		"npc_dota_creep_goodguys_ranged_upgraded_mega"	"상급 원거리 크립"
		"npc_dota_goodguys_siege"						"공성 크립"
		"npc_dota_goodguys_siege_upgraded"				"우수 공성 크립"
		"npc_dota_goodguys_siege_upgraded_mega"			"상급 공성 크립"
		"npc_dota_creep_goodguys_flagbearer"					"기수 크립"
		"npc_dota_creep_goodguys_flagbearer_upgraded"		"우수 기수 크립"
		"npc_dota_creep_goodguys_flagbearer_upgraded_mega"	"상급 기수 크립"

		// Neutral creeps
		"npc_dota_neutral_default"						"중립 크립"
		"npc_dota_neutral_kobold"						"코볼트"
		"npc_dota_neutral_kobold_tunneler"				"코볼트 병정"
		"npc_dota_neutral_kobold_taskmaster"			"코볼트 작업반장"
		"npc_dota_neutral_centaur_outrunner"			"켄타우로스 몰이꾼"
		"npc_dota_neutral_centaur_khan"					"켄타우로스 정복자"
		"npc_dota_neutral_fel_beast"					"타락한 영혼"
		"npc_dota_neutral_warpine_raider"				"전쟁솔 약탈자"
		"npc_dota_neutral_polar_furbolg_champion"		"지옥곰"
		"npc_dota_neutral_polar_furbolg_ursa_warrior"	"지옥곰 분쇄자"
		"npc_dota_neutral_mud_golem"					"진흙 골렘"
		"npc_dota_neutral_mud_golem_split"				"조각 골렘"
		"npc_dota_neutral_mud_golem_split_doom"			"조각 %s1개"
		"npc_dota_neutral_ogre_mauler"					"오거 난폭자"
		"npc_dota_neutral_ogre_magi"					"오거 얼음마법사"
		"npc_dota_neutral_giant_wolf"					"거대 늑대"
		"npc_dota_neutral_alpha_wolf"					"우두머리 늑대"
		"npc_dota_neutral_wildkin"						"들새"
		"npc_dota_neutral_enraged_wildkin"				"포악한 들새"
		"npc_dota_neutral_satyr_soulstealer"			"사티로스 영혼도둑"
		"npc_dota_neutral_satyr_hellcaller"				"사티로스 고문가"
		"npc_dota_neutral_satyr_trickster"				"사티로스 추방술사"
		"npc_dota_neutral_jungle_stalker"				"고대 추격자"
		"npc_dota_neutral_elder_jungle_stalker"			"고대 원시 추격자"
		"npc_dota_neutral_prowler_acolyte"				"고대 배회자 수련사"
		"npc_dota_neutral_prowler_shaman"				"고대 배회자 주술사"
		"npc_dota_neutral_rock_golem"					"고대 바위 골렘"
		"npc_dota_neutral_granite_golem"				"고대 화강암 골렘"
		"npc_dota_neutral_big_thunder_lizard"			"고대 천둥도마뱀"
		"npc_dota_neutral_small_thunder_lizard"			"고대 우레가죽도마뱀"
		"npc_dota_neutral_black_drake"					"고대 흑기룡"
		"npc_dota_neutral_black_dragon"					"고대 흑룡"
		"npc_dota_neutral_ice_shaman"					"고대 얼음 주술사"
		"npc_dota_neutral_frostbitten_golem"			"고대 결빙 골렘"
		"npc_dota_neutral_gnoll_assassin"				"부울 암살자"
		"npc_dota_neutral_ghost"						"유령"
		"npc_dota_neutral_dark_troll"					"고원 트롤"
		"npc_dota_neutral_dark_troll_warlord"			"어둠트롤 소환사"
		"npc_dota_neutral_forest_troll_berserker"		"고원 트롤 광전사"
		"npc_dota_neutral_forest_troll_high_priest"		"고원 트롤 사제"
		"npc_dota_neutral_harpy_scout"					"하피 정찰꾼"
		"npc_dota_neutral_harpy_storm"					"하피 폭풍술사"
		"npc_dota_neutral_tadpole"						"올챙이"
		"npc_dota_neutral_froglet"						"늪지구리"
		"npc_dota_neutral_grown_frog"					"개골어"
		"npc_dota_neutral_ancient_frog"					"고대 개골어"
		"npc_dota_neutral_froglet_mage"					"습지마법사 수습생"
		"npc_dota_neutral_grown_frog_mage"				"습지마법사"
		"npc_dota_neutral_ancient_frog_mage"			"고대 습지마법사"

		// Towns
		"dota_fountain"					"분수"
		"npc_dota_goodguys_tower1_top"	"포탑"
		"npc_dota_goodguys_tower1_mid"	"포탑"
		"npc_dota_goodguys_tower1_bot"	"포탑"
		"npc_dota_goodguys_tower2_top"	"포탑"
		"npc_dota_goodguys_tower2_mid"	"포탑"
		"npc_dota_goodguys_tower2_bot"	"포탑"
		"npc_dota_goodguys_tower3_top"	"포탑"
		"npc_dota_goodguys_tower3_mid"	"포탑"
		"npc_dota_goodguys_tower3_bot"	"포탑"
		"npc_dota_goodguys_tower4"		"포탑"
		"npc_dota_badguys_tower1_top"	"포탑"
		"npc_dota_badguys_tower1_mid"	"포탑"
		"npc_dota_badguys_tower1_bot"	"포탑"
		"npc_dota_badguys_tower2_top"	"포탑"
		"npc_dota_badguys_tower2_mid"	"포탑"
		"npc_dota_badguys_tower2_bot"	"포탑"
		"npc_dota_badguys_tower3_top"	"포탑"
		"npc_dota_badguys_tower3_mid"	"포탑"
		"npc_dota_badguys_tower3_bot"	"포탑"
		"npc_dota_badguys_tower4"		"포탑"

		"npc_dota_goodguys_melee_rax_top"	"근접 전투병 병영"
		"npc_dota_goodguys_melee_rax_mid"	"근접 전투병 병영"
		"npc_dota_goodguys_melee_rax_bot"	"근접 전투병 병영"
		"npc_dota_badguys_melee_rax_top"	"근접 전투병 병영"
		"npc_dota_badguys_melee_rax_mid"	"근접 전투병 병영"
		"npc_dota_badguys_melee_rax_bot"	"근접 전투병 병영"
		"npc_dota_goodguys_range_rax_top"	"원거리 전투병 병영"
		"npc_dota_goodguys_range_rax_mid"	"원거리 전투병 병영"
		"npc_dota_goodguys_range_rax_bot"	"원거리 전투병 병영"
		"npc_dota_badguys_range_rax_top"	"원거리 전투병 병영"
		"npc_dota_badguys_range_rax_mid"	"원거리 전투병 병영"
		"npc_dota_badguys_range_rax_bot"	"원거리 전투병 병영"
		"npc_dota_goodguys_fort"		"래디언트 고대의 요새"
		"npc_dota_badguys_fort"			"다이어 고대의 요새"
		"npc_dota_goodguys_fillers"		"건물"
		"npc_dota_badguys_fillers"		"건물"
		"npc_dota_goodguys_healers"		"제단"
		"npc_dota_badguys_healers"		"제단"
		"npc_dota_watch_tower"		"전초기지"
		"npc_dota_healing_campfire"		"치유의 모닥불"
		"npc_dota_lantern"				"감시자"
		"npc_dota_roquelaire"			"로클레르"
		"npc_dota_xp_fountain"			"지혜의 제단"

		// Event NPC names
		"npc_dota_mount_penguin"						"펭-귀인"
		"npc_dota_mount_ogreseal"						"오거 바다표범"
		"npc_dota_mount_snowball"						"눈덩이"
		"npc_dota_mount_frosttoad"						"서리 두꺼비"
		"npc_dota_feedable_roshan"						"로샨"
		"npc_dota_aghsfort_lich_skeleton_warrior"		"리치 해골"
		"npc_dota_aghsfort_phoenix_flame_revenant"		"화염 잔영"
		"npc_dota_aghsfort_clinkz_skeleton_colossus"	"해골 거상"
        "npc_dota_aghsfort_clinkz_skeleton_archer"		"해골 궁사"
		"npc_dota_dire_ofrenda"							"다이어 헌신의 제단"
		"npc_dota_radiant_ofrenda"						"래디언트 추모의 제단"
		"npc_dota_mutation_pocket_roshan"				"휴대형 로샨"
		"npc_dota_roshan_halloween"						"로샨"
		"npc_dota_goodguys_siege_diretide"				"새끼 로샨"
		"npc_dota_creep_goodguys_ranged_diretide"		"다이어타이드 마녀"
		"npc_dota_creep_goodguys_melee_diretide"		"다이어타이드 구울"
		"npc_dota_badguys_siege_diretide"				"새끼 로샨"
		"npc_dota_creep_badguys_ranged_diretide"		"다이어타이드 크롤러"
		"npc_dota_creep_badguys_melee_diretide"			"다이어타이드 좀비"
		"ent_dota_dire_candybucket"						"다이어 사탕 바구니"
		"ent_dota_radiant_candybucket"					"래디언트 사탕 바구니"
		"npc_dota_greevil"								"그리빌"
		"npc_dota_loot_greevil"							"선물도둑 티그"
		"npc_dota_greevil_minion_black"					"사악한 그리빌 하수인"
		"npc_dota_greevil_miniboss_black"				"악명 높은 상급 그리빌"
		"npc_dota_greevil_minion_white"					"축복받은 그리빌 하수인"
		"npc_dota_greevil_miniboss_white"				"신성한 상급 그리빌"
		"npc_dota_greevil_minion_red"					"심술궂은 그리빌 하수인"
		"npc_dota_greevil_miniboss_red"					"냉혹한 상급 그리빌"
		"npc_dota_greevil_minion_yellow"				"영리한 그리빌 하수인"
		"npc_dota_greevil_miniboss_yellow"				"약삭빠른 상급 그리빌"
		"npc_dota_greevil_minion_blue"					"허약한 그리빌 하수인"
		"npc_dota_greevil_miniboss_blue"				"얼어붙은 상급 그리빌"
		"npc_dota_greevil_miniboss_green"				"푸릇푸릇한 상급 그리빌"
		"npc_dota_greevil_minion_green"					"생기 넘치는 그리빌 하수인"
		"npc_dota_greevil_miniboss_purple"				"유독한 상급 그리빌"
		"npc_dota_greevil_minion_purple"				"썩은 그리빌 하수인"
		"npc_dota_greevil_miniboss_orange"				"이글거리는 상급 그리빌"
		"npc_dota_greevil_minion_orange"				"온기가 도는 그리빌 하수인"
		"npc_dota_phantomassassin_gravestone"			"역설 기념비"
		"npc_dota_badguys_cny_beast"					"다이어 해괴수"
		"npc_dota_goodguys_cny_beast"					"래디언트 해괴수"

		//ATTRIBUTES
		"DOTA_Tooltip_ability_attribute_bonus"											"능력치 보너스"
		"DOTA_Tooltip_ability_attribute_bonus_Description"								"점수를 투자할 때마다 모든 능력치가 상승합니다."
		"DOTA_Tooltip_ability_attribute_bonus_attribute_bonus_per_level"				"보너스:"

		"DOTA_Tooltip_Ability_invoker_attribute_bonus"									"능력치 보너스"
		"DOTA_Tooltip_ability_invoker_attribute_bonus_Description"						"점수를 투자할 때마다 모든 능력치가 상승합니다."
		"DOTA_Tooltip_ability_invoker_attribute_bonus_attribute_bonus_per_level"		"보너스:"

		"DOTA_Tooltip_Ability_dota_base_ability_Description"							"능력치 레벨"
		
		//ATTACK
		"DOTA_Tooltip_ability_default_attack"											"공격"
		"DOTA_Tooltip_ability_default_attack_Description"								"직접 공격 피해"
		
		//FOUNTAIN
		"DOTA_Tooltip_ability_fountain_glyph"											"강화의 문양 {s:glyph_hotkey}"
		"DOTA_Tooltip_ability_fountain_glyph_Description"								"- 구조물과 전선 크립이 무적이 됩니다.<br>- 포탑에 다중 발사 능력을 부여<span class=\"Footnote\">(1차 포탑 제외)</span>합니다.<br>- 첫 번째 1차 포탑, 첫 번째 2차 포탑, 첫 번째 근접 병영이 무너질 때마다 초기화됩니다."
		"DOTA_Tooltip_ability_fountain_glyph_duration_structures"						"지속시간(구조물): <span class=\"GameplayValues\">7초</span>"
		"DOTA_Tooltip_ability_fountain_glyph_duration_creeps"							"지속시간(크립): <span class=\"GameplayValues\">3초</span>"
		"DOTA_Tooltip_ability_fountain_glyph_multishot_targets"							"다중 발사 추가 대상 수: <span class=\"GameplayValues\">5</span>"
		"DOTA_Tooltip_glyph_cooldown_ready"												"준비"
		"DOTA_Tooltip_glyph_cooldown"													"쿨다운: %s1"
		"DOTA_Tooltip_ability_fountain_buyback"											"골드 부활"
		"DOTA_Tooltip_ability_fountain_buyback_Description"								"골드를 내고 영웅을 즉시 부활시킵니다."
		"DOTA_Tooltip_ability_fountain_buyback_cost"									"비용:"

		// Radar
		"DOTA_Tooltip_ability_radar"													"탐색 {s:scan_hotkey}"
		"DOTA_Tooltip_ability_radar_Description"										"8초 동안 대상으로 지정한 900의 효과 범위를 탐색합니다. 8초 동안 해당 지역에 적 영웅이 있는지를 표시합니다."
		"DOTA_Tooltip_radar_cooldown_ready"												"대기"
		"DOTA_Tooltip_radar_cooldown"													"쿨다운: %s1"

		// Courier Tooltip		
		"DOTA_Tooltip_courier_status"													"짐꾼 상태"
		"DOTA_Tooltip_courier_no_couriers"												"짐꾼 없음"
		"DOTA_Tooltip_courier_status_at_base"											"기지"					// idle at the fountain, or working with the stash
		"DOTA_Tooltip_courier_status_idle_in_world"										"전장에서 대기 중"			// idle somewhere out in the world
		"DOTA_Tooltip_courier_status_moving"											"이동 중"				// moving somewhere
		"DOTA_Tooltip_courier_status_returning"											"기지로 귀환 중"			// move dest is the fountain
		"DOTA_Tooltip_courier_status_delivering"										"%s1 님에게 아이템 전달 중"	// moving to a hero

		"DOTA_Tooltip_courier_respawn"													"사망\n%s1 후 부활"
		
        // Game mode modifiers
		"DOTA_Tooltip_modifier_turbo_courier_invulnerable"								"무적 상태"
		"DOTA_Tooltip_modifier_turbo_courier_invulnerable_Description"					"짐꾼이 주문을 두려워하지 않음"
		"DOTA_Tooltip_modifier_turbo_courier_haste"										"급속 비행체"
		"DOTA_Tooltip_modifier_turbo_courier_haste_Description"							"이동 속도 증가함"

		"DOTA_Tooltip_ability_ad_scepter_grant"											"아가님의 홀로 새로운 능력 부여: <font color=\"#ffffff\"><b>%s1</b></font>"
		"DOTA_Tooltip_ability_ad_shard_grant"											"아가님의 파편으로 새로운 능력 부여: <font color=\"#ffffff\"><b>%s1</b></font>"

		// BUILDING
		"DOTA_Tooltip_ability_backdoor_protection"										"우회 공격 방지"
		"DOTA_Tooltip_ability_backdoor_protection_Description"										"구조물은 감소된 피해를 받으며, 주위에 적 크립이 없을 때 받은 피해를 빠르게 회복합니다."
		"DOTA_Tooltip_ability_backdoor_protection_in_base"								"우회 공격 방지"
		"DOTA_Tooltip_ability_backdoor_protection_in_base_Description"			"구조물은 감소된 피해를 받으며, 주위에 적 크립이 없을 때 받은 피해를 빠르게 회복합니다."
		"DOTA_Tooltip_ability_filler_ability"										"성소"
		"DOTA_Tooltip_ability_filler_ability_Description"						"활성화하면 체력과 마나 재생이 지속하여 회복되고 제단을 활성화할 때마다 %base_xp%의 경험치를 얻습니다."
		"DOTA_Tooltip_ability_filler_ability_Note0"								"활성화하려면 제단을 오른쪽 클릭하세요."
		"DOTA_Tooltip_ability_filler_ability_Note1"								"분당 체력 재생 2/마나 재생 1 증가"
		"DOTA_Tooltip_ability_filler_ability_Note2"								"추가로 초당 전체 체력/마나의 2%를 회복합니다."
		"DOTA_Tooltip_ability_filler_ability_hp_heal"							"체력 재생 고정값:"
		"DOTA_Tooltip_ability_filler_ability_mp_heal"							"마나 재생 고정값:"
		"DOTA_Tooltip_ability_filler_ability_hp_heal_pct"						"%체력 재생:"
		"DOTA_Tooltip_ability_filler_ability_mp_heal_pct"						"%마나 재생:"
		"DOTA_Tooltip_ability_filler_ability_duration"							"지속시간:"
		"DOTA_Tooltip_ability_filler_ability_radius"							"반경:"

		//COURIER
		"DOTA_Tooltip_ability_courier_return_to_base"									"기지로 돌아가기"
		"DOTA_Tooltip_ability_courier_return_to_base_Description"						"짐꾼을 기지로 귀환시킵니다."
		"DOTA_Tooltip_ability_courier_transfer_items"									"아이템 전달"
		"DOTA_Tooltip_ability_courier_transfer_items_Description"						"영웅에게 아이템 전달"
		"DOTA_Tooltip_ability_courier_go_to_secretshop"									"비밀 상점으로 이동"
		"DOTA_Tooltip_ability_courier_go_to_secretshop_Description"						"짐꾼을 아군의 비밀 상점으로 이동합니다."
		"DOTA_Tooltip_ability_courier_return_stash_items"								"보관함에 아이템 넣기"
		"DOTA_Tooltip_ability_courier_return_stash_items_Description"					"아이템을 보관함으로 돌려보냅니다."
		"DOTA_Tooltip_ability_courier_shield"											"보호막"
		"DOTA_Tooltip_ability_courier_shield_Description"								"짐꾼 주변에 보호막을 생성합니다."
		"DOTA_Tooltip_ability_courier_shield_duration"									"지속시간:"
		"DOTA_Tooltip_ability_courier_burst"											"순간 가속"
		"DOTA_Tooltip_ability_courier_burst_Description"								"%duration%초 동안 짐꾼의 이동 속도가 증가합니다."
		"DOTA_Tooltip_ability_courier_burst_movement_speed"				"%가속 이동 속도:"
		"DOTA_Tooltip_ability_courier_take_stash_items"									"아이템 되찾기"
		"DOTA_Tooltip_ability_courier_take_stash_items_Description"						"보관함에서 아이템을 되찾습니다."
		"DOTA_Tooltip_ability_courier_autodeliver"									"자동 배달"
		"DOTA_Tooltip_ability_courier_autodeliver_Description"						"아이템 자동 배달 기능을 켜고 끕니다."
		
		//NECRONOMICON
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn"							"마나 분해"
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_Description"				"공격 시 적의 마나를 불태웁니다. 또한 불태운 마나의 일정 비율만큼 피해를 줍니다."
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_burn_amount"				"타격당 불태우는 마나:"
		"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_burn_damage_conversion"	"%전환되는 피해:"
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will"							"유언"
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will_Description"				"네크로노미콘 전사를 죽인 유닛에게 피해를 줍니다."
		"DOTA_Tooltip_ability_necronomicon_warrior_last_will_explosion"					"피해:"
		"DOTA_Tooltip_ability_necronomicon_warrior_sight"								"진실의 시야"
		"DOTA_Tooltip_ability_necronomicon_warrior_sight_Description"					"투명 유닛을 봅니다."
		"DOTA_Tooltip_ability_necronomicon_warrior_sight_radius"						"반경:"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn"							"마나 불태우기"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_Description"				"화살을 날려 대상 유닛의 마나를 불태우고 불태운 마나와 같은 양의 피해를 줍니다."
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_burn_amount"				"타격당 불태우는 마나:"
		"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_burn_as_damage_tooltip"				"%전환되는 피해:"
		
		"DOTA_Tooltip_ability_necronomicon_archer_purge"								"정화"
		"DOTA_Tooltip_ability_necronomicon_archer_purge_Description"					"적에게서 이로운 강화 효과를 해제하고 이동 속도를 둔화합니다.\n\n해제 유형: 기본 해제"
		"DOTA_Tooltip_ability_necronomicon_archer_purge_duration"						"지속시간:"
		"DOTA_Tooltip_ability_necronomicon_archer_purge_Note0"							"무적 상태의 유닛에게 시전할 수 있습니다."
		"DOTA_Tooltip_ability_necronomicon_archer_purge_Note1"							"둔화 효과는 시작 시 100%%였다가 점차 20%%로 감소합니다."
		"DOTA_Tooltip_modifier_necronomicon_archer_purge"								"정화"
		"DOTA_Tooltip_modifier_necronomicon_archer_purge_Description"					"이동 속도 %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% 감소"

		"DOTA_Tooltip_ability_necronomicon_archer_aoe"									"궁수 오라"
		"DOTA_Tooltip_ability_necronomicon_archer_aoe_Description"						"근처에 있는 유닛의 이동이 빨라집니다."
		"DOTA_Tooltip_ability_necronomicon_archer_aoe_radius"							"반경:"
		"DOTA_Tooltip_ability_necronomicon_archer_aoe_ms_bonus"						"%이동 속도 보너스:"

		//ANTIMAGE
		"DOTA_Tooltip_ability_antimage_mana_break"										"마나 분해"
		"DOTA_Tooltip_ability_antimage_mana_break_Description"							"공격할 때마다 상대의 마나를 불태우고 불태운 마나의 일정 비율에 해당하는 피해를 줍니다."
		"DOTA_Tooltip_ability_antimage_mana_break_Lore"									"투르스타르쿠리 수도사의 평화로운 명상 수단을 변형한 기술로, 마법 에너지를 시전자에게 되돌립니다."
		"DOTA_Tooltip_ability_antimage_mana_break_Note0"								"환영이 일으킨 마나 분해는 효과가 %illusion_percentage%%%로 적용됩니다."
		"DOTA_Tooltip_ability_antimage_mana_break_mana_per_hit"							"타격당 불태우는 마나:"
		"DOTA_Tooltip_ability_antimage_mana_break_mana_per_hit_pct"						"%타격당 불태우는 최대 마나:"
		"DOTA_Tooltip_ability_antimage_mana_break_move_slow"							"%전체 흡수 시 이동 속도 둔화:"
		"DOTA_Tooltip_ability_antimage_mana_break_percent_damage_per_burn"				"%불태운 마나의 피해 전환 비율:"
		"DOTA_Tooltip_ability_antimage_mana_break_slow_duration"						"둔화 지속시간:"

		"DOTA_Tooltip_Facet_antimage_magebanes_mirror"											"마법사멸의 거울"
		"DOTA_Tooltip_Facet_antimage_magebanes_mirror_Description"								"주문 반격 또는 아군 주문 반격으로 주문을 반격하면 즉시 적에게서 해당 소모 마나의 일정 비율만큼 불태우고 불태운 소모 마나를 바탕으로 피해를 줍니다."
		"DOTA_Tooltip_Facet_antimage_mana_thirst"												"마나 갈증"		
		"DOTA_Tooltip_Facet_antimage_mana_thirst_Description"									"항마사가 마나가 적은 적에게 피해를 가합니다."		

		"DOTA_Tooltip_modifier_antimage_mana_thirst"									"마나 갈증"
		"DOTA_Tooltip_modifier_antimage_mana_thirst_Description"						"마나가 낮은 적을 감지함. 공격력 %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% 증가"
		"DOTA_Tooltip_modifier_antimage_mana_thirst_vision"								"마나 갈증"
